videoid;titulo;data;dia_semana;intervalo;duracao;views;curtidas;nao_curtidas;comentarios
144;GAME OF THRONES | EPISÓDIO 05 TEMPORADA 07 (REVIEW);14/08/2017;Segunda-Feira;2;15:07;26279;4868;26;612
145;PLACA DOS CEM MIL INSCRITOS | E UM POUCO SOBRE MIM...;15/08/2017;Terça-Feira;1;06:38;27324;7839;8;1078
146;GEORGES MÉLIÈS | O Verdadeiro Inventor do Cinema;20/08/2017;Domingo;5;11:03;37652;5892;30;279
147;GAME OF THRONES | EPISÓDIO 06 TEMPORADA 07;21/08/2017;Segunda-Feira;1;11:13;27685;5429;30;351
148;O PLANO PARA MATAR VISERION | (TEORIA GAME OF THRONES);24/08/2017;Quinta-Feira;3;05:28;80723;9025;120;378
149;NERD AO CUBO | CAIXA 28 - CONFRONTO (AGOSTO 2017);26/08/2017;Sábado;2;07:06;34533;3882;31;168
150;GAME OF THRONES | EPISÓDIO 07 TEMPORADA 07 (Último Episódio);28/08/2017;Segunda-Feira;2;13:44;43287;6849;52;285
151;THANOS - ORDEM NEGRA | GUERRA INFINITA;03/09/2017;Domingo;6;09:51;245694;26055;114;461
152;SHAZAM | ORIGEM;06/09/2017;Quarta-Feira;3;11:16;622468;57565;364;1395
153;LIVROS PRA EXPLODIR SUA CABEÇA VOL.2 | ASIMOV / CRICHTON / GIBSON;09/09/2017;Sábado;3;13:47;121002;14442;48;367
154;LIGA DA JUSTIÇA | A MORTE DO SUPERMAN E O UNIFORME PRETO NO CINEMA;12/09/2017;Terça-Feira;3;12:49;151395;21196;78;637
155;UNBOXING DUPLO | MIXTURE BOX - CAIXAS 11 E 12;18/09/2017;Segunda-Feira;6;15:05;93124;6900;62;370
156;O DIA EM QUE A MARVEL FALIU!!;19/09/2017;Terça-Feira;1;09:57;183153;27052;98;1366
157;CORAÇÃO DE AÇO | LIVRO I DA SÉRIE DOS EXECUTORES;22/09/2017;Sexta-Feira;3;10:34;83117;12860;48;707
158;VENOM | ORIGEM;26/09/2017;Terça-Feira;4;11:28;476703;42569;263;851
159;STAR TREK DISCOVERY | NETFLIX;28/09/2017;Quinta-Feira;2;07:57;34720;5710;28;380
160;NERD AO CUBO | CAIXA 29 - PLAYER (SETEMBRO 2017);01/10/2017;Domingo;3;08:59;33568;4585;27;165
161;NOVIDADE ESSA SEMANA!!!;01/10/2017;Domingo;0;00:55;16040;3662;9;191
162;CARNIFICINA | ORIGEM (A SEMANA DO SIMBIONTE);02/10/2017;Segunda-Feira;1;04:49;450790;40003;223;702
163;TOXINA | ORIGEM (A SEMANA DO SIMBIONTE);03/10/2017;Terça-Feira;1;08:44;540045;45208;255;917
164;ANTI-VENOM | ORIGEM (A SEMANA DO SIMBIONTE);04/10/2017;Quarta-Feira;1;07:52;571585;47909;289;689
165;GRITO (SCREAM) | ORIGEM (A SEMANA DO SIMBIONTE);05/10/2017;Quinta-Feira;1;07:13;359695;34378;125;781
166;HÍBRIDO (HYBRID) | ORIGEM (A SEMANA DO SIMBIONTE);06/10/2017;Sexta-Feira;1;07:42;415432;45251;155;1500
167;CÍRCULO DE FOGO 2 | TRAILER COMENTADO;08/10/2017;Domingo;2;13:30;196897;18737;156;962
168;LIGA DA JUSTIÇA | TRAILER COMENTADO;10/10/2017;Terça-Feira;2;13:17;73118;12191;57;770
169;STAR WARS - OS ÚLTIMOS JEDI | TRAILER COMENTADO;13/10/2017;Sexta-Feira;3;14:15;52415;8610;35;548
170;THE FLASH (SÉRIE) | Temporada 04 Episódio 01 (REVIEW);15/10/2017;Domingo;2;10:51;60019;8914;50;430
171;STRANGER THINGS TEMPORADA 2 | TRAILER REVIEW;17/10/2017;Terça-Feira;2;17:00;33050;5503;9;454
172;PANTERA NEGRA TRAILER 2 | REVIEW;19/10/2017;Quinta-Feira;2;15:35;156679;17472;91;936
173;THE FLASH (SÉRIE) | Temporada 04 Episódio 02 (REVIEW);21/10/2017;Sábado;2;09:08;37130;6050;31;453
174;BLADE RUNNER 2049 | REVIEW / CRÍTICA (SEM SPOILERS);24/10/2017;Terça-Feira;3;09:45;16137;3193;8;232
175;GUERRA INFINITA 2018 | A ARMADURA DO HOMEM DE FERRO;25/10/2017;Quarta-Feira;1;05:52;282274;28713;224;1297
176;THE FLASH (SÉRIE) | Temporada 04 Episódio 03 (REVIEW);26/10/2017;Quinta-Feira;1;07:46;30111;4861;11;193
177;THOR RAGNAROK | REVIEW / CRÍTICA (SEM SPOILERS);27/10/2017;Sexta-Feira;1;10:38;81002;13041;135;794
178;NERD AO CUBO UNBOXING DUPLO | CAIXA 30 OUTUBRO 2017 / CAIXA ESPECIAL BLIZZARD;31/10/2017;Terça-Feira;4;12:50;43775;5553;34;354
179;THE FLASH (SÉRIE) | Temporada 04 Episódio 04;01/11/2017;Quarta-Feira;1;09:11;32915;5278;27;246
180;O FILME DO VENOM VAI BAGUNÇAR O UNIVERSO MARVEL?;02/11/2017;Quinta-Feira;1;12:18;260876;29912;221;1450
181;STRANGER THINGS 2 | REVIEW / CRÍTICA E QUESTÕES PARA A TEMPORADA 3;05/11/2017;Domingo;3;13:10;49463;9020;33;803
182;MIXTURE BOX | OUTUBRO 2017 CRIATURAS FANTÁSTICAS 2 (UNBOXING);07/11/2017;Terça-Feira;2;09:14;28938;3959;15;87
183;A DISNEY VAI COMPRAR A FOX | OS X-MEN E O QUARTETO FANTÁSTICO VÃO VOLTAR PARA A MARVEL?;07/11/2017;Terça-Feira;0;06:17;86737;14874;57;996
184;THE FLASH SÉRIE | Temporada 04 Episódio 05;09/11/2017;Quinta-Feira;2;10:29;29917;5143;22;401
185;SURPRESA! MAIS UMA SEMANA ESPECIAL CHEGANDO!;13/11/2017;Segunda-Feira;4;00:55;15960;4564;12;297
186;SUPERMAN ORIGEM | A SEMANA DA JUSTIÇA;13/11/2017;Segunda-Feira;0;10:46;136258;21769;101;1013
187;BATMAN ORIGEM | A SEMANA DA JUSTIÇA;14/11/2017;Terça-Feira;1;12:10;176888;24796;107;1034
188;MULHER MARAVILHA ORIGEM | A SEMANA DA JUSTIÇA;15/11/2017;Quarta-Feira;1;09:54;100657;15494;69;495
189;LIGA DA JUSTIÇA 2017 (SEM SPOILERS) CRÍTICA / REVIEW | A SEMANA DA JUSTIÇA;17/11/2017;Sexta-Feira;2;10:41;103029;16911;140;983
190;FLASH ORIGEM | A SEMANA DA JUSTIÇA;18/11/2017;Sábado;1;10:57;104936;18650;80;920
191;CYBORG ORIGEM | A SEMANA DA JUSTIÇA;19/11/2017;Domingo;1;08:34;112409;16674;47;450
192;AQUAMAN ORIGEM | A SEMANA DA JUSTIÇA;20/11/2017;Segunda-Feira;1;09:01;110295;16860;70;726
193;THE FLASH SÉRIE | Temporada 04 Episódio 06;23/11/2017;Quinta-Feira;3;09:26;22846;3981;13;217
194;THE FLASH SÉRIE | Temporada 04 Episódio 07;24/11/2017;Sexta-Feira;1;08:53;26829;4480;13;220
195;NERD AO CUBO HEROIS | NOVEMBRO 2017;25/11/2017;Sábado;1;14:59;49520;6804;42;291
196;VINGADORES GUERRA INFINITA TRAILER | REVIEW;30/11/2017;Quinta-Feira;5;16:47;310704;35606;216;2175
197;THE FLASH SÉRIE | CRISE NA TERRA X CROSSOVER (temporada 04);06/12/2017;Quarta-Feira;6;11:53;68176;8624;56;568
198;O UNIFORME PRETO DO SUPERMAN FOI CORTADO DO FILME DA LIGA DA JUSTIÇA | A CULPA É DO ZACK SNYDER???;09/12/2017;Sábado;3;09:12;94220;15868;84;1087
199;THE FLASH SÉRIE | Temporada 04 Episódio 09;12/12/2017;Terça-Feira;3;08:19;28656;4963;20;218
200;STAR WARS EPISÓDIO 8 - OS ÚLTIMOS JEDI (SEM SPOILERS) | REVIEW / CRÍTICA;15/12/2017;Sexta-Feira;3;11:49;59650;9584;84;489
201;SIM, A DISNEY COMPROU A FOX | O QUE ISSO SIGNIFICA?;17/12/2017;Domingo;2;08:32;99391;19263;77;868
202;O FILME DO QUARTETO FANTÁSTICO QUE VOCÊ NUNCA VAI VER!;18/12/2017;Segunda-Feira;1;08:21;81652;13950;44;414
203;ANIMAÇÃO ARANHAVERSO E A ORIGEM DE MILES MORALES - O HOMEM ARANHA ULTIMATE;22/12/2017;Sexta-Feira;4;09:34;103794;14690;73;464
204;BRIGHT - ESTREIA NETFLIX (SEM SPOILERS);25/12/2017;Segunda-Feira;3;08:34;57642;10818;52;522
205;UNBOXING - MIXTURE BOX | NOVEMBRO 2017 - ANIME;27/12/2017;Quarta-Feira;2;09:00;30222;5421;22;546
206;GUERRA INFINITA VAI TRAZER VIAGENS NO TEMPO PARA MUDAR A FASE 4 DA MARVEL?;28/12/2017;Quinta-Feira;1;10:33;145855;21041;123;1260
207;GUERRA INFINITA | OS ILLUMINATI PODEM APARECER? (TEORIA);31/12/2017;Domingo;3;09:40;164531;22986;126;976
208;UNBOXING MIXTURE BOX | DEZEMBRO 2017;04/01/2018;Quinta-Feira;4;09:32;42695;6446;39;235
209;FILMES 2018 | OS MAIS ESPERADOS E AS POSSÍVEIS SURPRESAS;04/01/2018;Quinta-Feira;0;18:17;109403;15657;105;823
210;CONTOS DE HP LOVECRAFT | MEDO CLÁSSICO VOL 1 - DARKSIDE BOOKS (RESENHA);12/01/2018;Sexta-Feira;8;12:53;235893;28672;141;940
